CARRERAS UNIVERSITARIAS,NUMERO DE ESTUDIANTES
EDUCACIÓN,1457
ADMINISTRACIÓN,1216
DERECHO,1142
ECONOMÍA,1058
CONTABILIDAD,888
PSICOLOGÍA,863
CIENCIAS DE LA COMUNICACIÓN,832
ARQUITECTURA,810
RELACIONES INDUSTRIALES,743
INGENIERÍA INDUSTRIAL,692
INGENIERÍA CIVIL,654
INGENIERÍA QUÍMICA,638
INGENIERÍA MECÁNICA,605
INGENIERÍA ELECTRÓNICA,594
BIOLOGÍA,558
TURISMO Y HOTELERÍA,525
ARTES,505
INGENIERÍA METALÚRGICA,482
INGENIERÍA DE SISTEMAS,461
INGENIERÍA ELÉCTRICA,458
INGENIERÍA DE INDUSTRIAS ALIMENTARIAS,435
AGRONOMÍA,423
INGENIERÍA DE MATERIALES,423
INGENIERÍA EN TELECOMUNICACIONES,421
INGENIERÍA DE MINAS,404
TRABAJO SOCIAL,396
MEDICINA,388
INGENIERÍA GEOLÓGICA,378
ENFERMERÍA,371
CIENCIAS DE LA NUTRICIÓN,364
SOCIOLOGÍA,352
INGENIERÍA AMBIENTAL,327
LITERATURA Y LINGÜÍSTICA,307
MARKETING,280
GESTIÓN,277
QUÍMICA,266
BANCA Y SEGUROS,257
CIENCIA DE LA COMPUTACIÓN,251
MATEMÁTICAS,241
FINANZAS,237
FÍSICA,226
ANTROPOLOGÍA,203
INGENIERÍA SANITARIA,201
HISTORIA,198
INGENIERÍA GEOFÍSICA,172
INGENIERÍA PESQUERA,166
FILOSOFÍA,120
